"CCode","CName","Code","PSname","PSaddress","lon","lat"
"F12","Lai Chi Kok South","F1201","SKH St. Mary's Church Mok Hing Yiu College","1 Hoi Lai Street, Sham Shui Po, Kowloon",114.1479561,22.3314185
"F13","Mei Foo South","F1301","Mei Foo Sun Chuen Community Centre","38 Broadway, Stage 2, Mei Foo Sun Chuen, Kowloon",114.1374279,22.336401
"F14","Mei Foo Central","F1401","POH Mei Foo Lai Wan Kaifong Association Mr. and Mrs. Leung Chi Chim Elderly Health Support and Learning Centre","8 Lai Wan Rd, Kowloon",114.137958,22.3378993
"F15","Mei Foo North","F1501","Lai Chi Kok Park Sports Centre","1 Lai Wan Road, Lai Chi Kok, Kowloon",114.1369,22.340663
"F16","Lai Chi Kok Central","F1601","Lai Chi Kok Community Hall","G/F, 863 Lai Chi Kok Road, Sham Shui Po, Kowloon",114.147242,22.333964
"F17","Lai Chi Kok North","F1701","Five Districts Business Welfare Association School","70 Wing Hong Street, Sham Shui Po, Kowloon",114.1546361,22.3409295
"F18","Un Chau & So Uk","F1801","Cheung Sha Wan Sports Centre","J/O Hing Wah Street and Cheung Sha Wan Road, Kowloon",114.1535167,22.3373947
"F19","Lei Cheng Uk","F1901","Cheung Sha Wan Community Centre","55 Fat Tseung Street, Cheung Sha Wan, Kowloon",114.1586951,22.3400225
"F20","Ha Pak Tin","F2001","Pak Tin Community Hall","Pak Tin Estate, Pak Tin Street, Shek Kip Mei, Kowloon",114.165349,22.3376695
"F21","Yau Yat Tsuen","F2101","Our Lady of The Rosary College","22 Rose Street, Yau Yat Chuen, Kowloon",114.1726381,22.3330251
"F22","Nam Shan, Tai Hang Tung & Tai Hang Sai","F2201","Tai Hang Tung Community Centre","17 Tong Yam Street, Tai Hang Tung, Kowloon",114.1702115,22.3304636
"F23","Lung Ping & Sheung Pak Tin","F2301","Pak Tin Catholic Primary School","Pak Tin Estate, Sham Shui Po, Kowloon",114.165349,22.3376695
"F23","Lung Ping & Sheung Pak Tin","F2302","Chak On Centre, City University of Hong Kong","Chak On Estate, Sham Shui Po, Kowloon",114.164986,22.340516
"G01","Ma Tau Wai","G0101","Ma Tau Chung Government Primary School","1 Fuk Cheung Street, To Kwa Wan, Kowloon",114.1867214,22.3245539
"G02","Ma Hang Chung","G0201","To Kwa Wan Sports Centre","66 Ha Heung Road, To Kwa Wan, Kowloon",114.1902874,22.3188228
"G03","Ma Tau Kok","G0301","PLK Lam Man Chan English Primary School","24 Sheung Heung Road, To Kwa Wan, Kowloon",114.1881964,22.318579
"G04","Lok Man","G0401","St. Eugene de Mazenod Oblate Primary School","24 Tin Kwong Road,To Kwa Wan, Kowloon",114.1860699,22.319782
"G05","Sheung Lok","G0501","St. Monica's Kindergarten","G/F, Kwun Hei Court, 3 Sheung Lok Street, Homantin South, Kowloon",114.1832115,22.3144515
"G05","Sheung Lok","G0502","YMMSS Homantin Integrated Centre for Youth Development","G/F, Tim Man House, Homantin Estate, Homantin, Kowloon",114.1822181,22.3155183
"G06","Ho Man Tin","G0601","Yu Chun Keung Memorial College","Man Fuk Road, Homantin, Kowloon",114.1781719,22.3193961
"G06","Ho Man Tin","G0602","Homantin Government Secondary School","8 Perth Street, Homantin, Kowloon",114.1803609,22.3210809
"G07","Kadoorie","G0701","Caritas Community Centre - Kowloon","256A Prince Edward Road West, Kowloon",114.1778011,22.326058
"G07","Kadoorie","G0702","Kowloon Chamber of Commerce","2 Liberty Avenue, Homantin, Kowloon",114.174321,22.318491
"G10","Lung Shing","G1001","Kowloon City Sports Centre","3/F, Kowloon City Municipal Services Building, 100 Nga Tsin Wai Road, Kowloon City, Kowloon",114.1890319,22.3295171
"G11","Sung Wong Toi","G1101","Holy Trinity Primary School","57 Fu Ning Street, Kowloon City, Kowloon",114.1885531,22.325137
"G12","Kai Tak North","G1201","PLK Wan Lam May Yin Shirley Neighborhood Elderly Centre","Flat A206, 2/F, Ching Long Shopping Centre, 12 Muk Hung Street, Kai Tak, Kowloon",114.2038384,22.3321986
"G13","Kai Tak South","G1301","Buddhist Mr & Mrs Chan Chart Man Kindergarten","Tak Long Estate, Kai Tak, Kowloon",114.2042274,22.3288404
"G14","Hoi Sham","G1401","SKH Holy Carpenter Primary School","14 Kwei Chow Street, To Kwa Wan, Kowloon",114.1927804,22.3162488
"G15","To Kwa Wan North","G1501","To Kwa Wan Complex Indoor Games Room","2/F, To Kwa Wan Market & Government Offices, 165 Ma Tau Wai Road, To Kwa Wan, Kowloon",114.1703545,22.3095361
"G16","To Kwa Wan South","G1601","CCC Kei To Secondary School","28 Sung On Street, To Kwa Wan, Kowloon",114.1904109,22.3135079
